review_page,review_title,review_content,review_star,reviewer_location,review_date,crawled_date
5,WW11 - another piece of the jigsaw,Really interesting to visit the actual place where the surrender of Singapore took place. We’ve visited all the other crucial places of interest and it’s good to see that those involved in this are working hard to keep this piece of history alive and not forgotten.,40,"Stoke-on-Trent, United Kingdom",4 Mar,20200310
5,Brilliant overview of Singapore's modern history,With the Changi museum closed for renovation we choose this tour to give us an overview of Singapore's history during the 2nd World War. This really is a 'must visit' if you're interested in Singapore's modern history and Britain's imperialist past - which as you will discover on this tour was not always covered in heroic victories. On this occasion it signalled capitulation to the 'enemy' .The tour was greatly helped by an enthusiastic and knowledgeable tour guide who ';walked' the group through the history of the Battlebox.If you visit Singapore I would strongly suggest booking this tour (and book you must because it is very popular and the group size is strictly limited). The tour last just over an hour and is highly recommended.,50,,4 Mar,20200310
6,Battlebox Tour,We only had a couple of days in Singapore and I am so glad that we fitted this tour into our busy schedule. Small groups are given a tour of the underground strategic headquarters with a detailed commentary. Very informative and interesting. If you are interested in World War 2 and the fall of. Singapore this is not to be missed.,50,"London, United Kingdom",4 Mar,20200310
6,Must See,Having no prior knowledge of the significance of this underground bunker and its operation during the war against the Japanese the information given was both informative & accurate with the addition of archive films. it was also fascinating to see the actual rooms set out as they would have been used. It could be seen by some as a little expensive but we thought it was well worth the money,50,,4 Mar,20200310
6,A great tour,"This was the second time I have been to the Battle Box, and for any one interested in the happenings in Singapore in the Second World War, you should not miss it. The tour guide was really good and made it a memorable afternoon. Well done to you all.",50,Cooloongup,4 Mar,20200310
6,Exeptional,"We visited Battlebox on Monday 24th Feb 2020. I am absolutely amazed with the whole experience, beginning with exchange of emails discussing disability access, tour itself, knowledge, atmosphere, history, and exeptional staff and their friendliness.I would like to express special thanks to Joanne for organizing the wheelchair for Mum and being so knowledgeable and interesting guide.I recommend the visit to Battlebox while in Singapore. Don't miss it!",50,"Melbourne, Australia",4 Mar,20200310
6,Brilliant guide,"Our guide was fantastic, she knew a lot about all different aspects of the Battle box and the history of Singapore. The only slight downside was we didn’t quite have enough time to read all the information boards in each room.",50,"Bognor Regis, United Kingdom",4 Mar,20200310
7,A must visit,Perhaps the best and most experential visit to a historical site in singapore ever. I highly recommend it.,50,"Singapore, Singapore",4 Mar,20200310
7,Great Historical Site,"Loved it, such a vivid experience of a location where high pressure decisions were made. They've done such a good job and I was happy to support them.",50,,4 Mar,20200310
7,Singapore must do,Our guide was a gentleman called Shaun the tour was excellent very informative and Shaun did it with such enthusiasm he made the tour highly entertaining I would definitely recommend and the price was a snip at 20 dollars,50,"Leeds, United Kingdom",3 Mar,20200310
7,A must for history buffs,Very interesting look back over the history of Singapore and in particular the surrender of British forces in WW2.Our tour guide was Shawn who gave an excellent account of the history of the Fort and the bunker.The tour took about 1hr 20mins and takes you through various rooms within the bunker. If you like your history then this is a must while in Singapore.We booked via get your guide app,50,"Liverpool, United Kingdom",3 Mar,20200310
7,Good and informative tour,"I had the honour to be led by Ms Joanne Deng as the tour leader for my visit. Her briefing is to the point and she did not put up any false accent as the majority of our group of about 10-20 members were caucasians (British I presume), with only 3 locals (a senior ma'am, my friend and myself). It would have been good to have a short note as to why the British empire did not send more reinforcement/s to Asia back in 1941-1942. I could only have to try to recall the information I learned back in school during History lessons (or did I skipped that particular lesson).Nonetheless it was a good tour to see in what kind of conditions the men worked in during war times (minus the air-conditioning).",50,"Kanchanaburi Province, Thailand",2 Mar,20200310
8,"Informative if you don’t know, atmospheric if you do","Well paced and delivered in a mix of guide information, video and displays. I liked the way the commanders looked like themselves. Really basic level of existence in there. No photography allowed inside.",50,"Bedlington, United Kingdom",Feb 2020,20200310
8,Great Experience in Singapore,"One of the historic times that really shaped and influenced Singapore is its experience in WWII and this tour does a great job of explaining that time to you and allowing to to experience as it was. This is an older 1930 era fort that actually experienced combat in WWII. However you not only get to visit an historic site, you also get to see it as it operates in 1942 when the battle took place. You can probably learn as much by watching a YouTube video on the battle. However, there is only one way to experience it and that is as a part of this tour. Take the time to order ticket online and then go. While there you can see the National Museum and Fort Canning Park. Also any way you go the Battlebox is at the top of the Fort Canning hill so the walk up is steep at the end, so be prepared.",50,"Pensacola, Florida",Feb 2020,20200310
8,One of the most interesting visits of it types,"Many places of this type, you make your own way round an exhibition and get a bit from it, but the guided tour by Horus was fabulous. Highly informative, the ability to ask questions and have a discussion was brilliant. A great tour dealing with a difficult time in history.",50,,Feb 2020,20200310
8,Battlebox Tour,"Incredibly interesting and can be enjoyed by those who have no prior knowledge and those that do. Was fascinating to see the actual rooms that were used in the terrible time in world war two. Also, the guides were fantastic!",40,"Adelaide, Australia",Feb 2020,20200310
8,Average experience,"An interesting tour with the opportunity to view this underground bunker and its operation during the war against the Japanese. Could do with a slow pace, so that we have more time to look at the photographs and exhibits. A more interesting place to visit which covers this period of Singapore is the former Ford Factory at Bukit Timah Road. Also much cheaper at one seventh of this entry priceIt must be mentioned that the toilet facilities consist of two portable toilets. They were foul smelling and absolutely disgusting. Totally unacceptable for a premier tourist attraction and puts Singapore to shame. Even more important now with the threat of Coronavirus outbreak.",30,"Reading, United Kingdom",Feb 2020,20200310
9,"Excellent Tour, especially for history buffs","I am sure a lot of people are unaware of this very enjoyable tour and fascinating part of Singapore history. I certainly was as I have travelling to Singapore for many years and only found out about it recently.The tour is well managed and presented and each of the rooms in the Battlebox has an interesting story to tell.The guide is well informed and historical video clips add to the excellent narrative.The centre also has a selection of books related to the historical context for purchase and I availed myself of one.Hong Kong could learn from this as they endured a similar invasion, but have not preserved the history as well as Singapore has.",50,"Hong Kong, China",Feb 2020,20200310
9,interesting,this tour was very informative and not at all like history at school. the guide answered all questions and made jokes. the battlebox although has 29 rooms the tunnels seemed endless. just needed slightly longer to read articles on walls but you aren't rushed around. if you want to know about history of canning park this is the place. well recommended,50,"Hanc, France",Feb 2020,20200310
9,Thoroughly enjoyable and educational,The guide was very knowledgeable and spoke very clearly. The pace was very reasonable and the balance between the physical exhibits and video clips kept the whole tour interesting. The sculpted figures were very realistic too. I learned so much about Singapore’s history in such a short period of time. It was also a nice jog through memory lane as I was able to tie the more detailed narrative during the tour with the little bit of fundamental knowledge that I had on the history of the region.,50,,Feb 2020,20200310
9,Battlebox tour,"Very informative & worth entrance fee. Excellent guide , Rodney made it interesting & not just a history lesson",50,"Banff, United Kingdom",Feb 2020,20200310
9,Very interesting,"We did a tour of the Battle Box and we walked there from our hotel through Fort Canning Park. Rodney was our tour guide, he was very informative and made our visit very interesting. We learnt much about the surrender of Singapore on 15 February 1942 and it was incredible to be in the very room where the momentous decision was made. The Battle Box is well set up with life like figures depicting the British Officers who were in the room and who made the fatal decision to capitulate. Highly recommended as an incredibly interesting place to visit to learn something about the history of Singapore and the British Empire.",50,"Brisbane, Australia",Feb 2020,20200310
10,"Very interesting, superbly guided",This was a fascinating tour through the underground bunker used during WWII. We learned some amazing facts from a very good guide.,50,"Peterborough, United Kingdom",Feb 2020,20200310
10,Excellent tour of a monument central to Singapore's history,"The history of the struggles of Singapore in the second world war were explained very clearly and concisely by our excellent guide, Rodney. The tour of the Battlebox itself really bought the war story to life with video clips, displays in the rooms and interesting stories. All in all very well organised and well worth the money for the 1.5 hour tour.",50,"Greater Manchester, United Kingdom",Feb 2020,20200310
10,An interesting bit of history,You can only visit by guided tour. The guide was great and very knowledgable. I think they could make more of the exhibits inside and give more information for the visitors to read and see with photos about the occupation by Japan. It felt that some uncomfortable parts of the history weren’t mentioned.,40,Hitchin,Feb 2020,20200310
10,Was a sad day for Singapore,"Visiting the Battlebox was a brilliant experience and a reminder of my Singaporean history. Our tour leader Horace was extremely charming and knowledgeable about his material. Entertaining!I’ll always remember February 15th next time on the 16th, 2022 Anniversary.",50,"Brisbane, Australia",Feb 2020,20200310
10,A very informative experience,We were guided through the battle box by a knowledgeable young lady with an excellent manner . I would recommend this tour to everyone young and old. This was my third visit. Best Regards.,50,,Feb 2020,20200310
11,Battlebox Tour,The tour guide was very informative and passionate about the events which took place in Singapore and in the Battlebox during WW2. I found it extremely interesting and would recommend it to everyone.,50,"Palmwoods, Australia",Feb 2020,20200310
11,Well delivered experience of Singapore's fall to Japan and the beginning of the end of the British Empire,"It told the story of difficult decision Gen. Percival and his staff had to make when faced with a Japanese invasion and having been hung out to dry by the RAF and Royal Navy. It told it well. When we visited the range of people and nations represented -- from England, New Zealand, Singapore, Malaysia, Japan and Scotland was a testament to the peace we have built since that brutal time.",50,"Bristol, United Kingdom",Feb 2020,20200310
11,Excellent tour,Well worth a visit if you’re in Singapore. Small groups so you need to pre book. Excellent informative guide. Models of the osficers were very lifelike. We found it very moving.,50,"Shanghai, China",Feb 2020,20200310
11,Don't miss the Battlebox,"Singapore is a modern day marvel of commerce and architecture, we spent days exploring its world-famous venues, but we would have missed an important part of its history if we hadn't made time for the Battlebox tour. Wherever you're coming from, your country likely has it's own WWII narrative. It was fascinating to learn the role Singapore played, why the British surrendered, and how WWII was seen through Singaporean eyes. Our tour guide was exceptional. She told the story with deft skill providing great details along the way to a super satisfying ending. We definitely found the Battlebox worth the time and money.",50,,Feb 2020,20200310
11,Great for family,We really enjoyed the tour and the guide’s enthusiasm for World War II. My teenage son still talk about it.,50,,Feb 2020,20200310
12,Singapore Battlebox @Fort Canning,the visit was worth it as the guide gave us detailed explanation of the history of Singapore during WWII. inside battlebox was eye opener and insightful. strongly recommended to those who want to understand Singapore history deeper.,50,,Feb 2020,20200310
12,A trip to Singapore's Past,"It was a good walking tour, very comprehensive. Perfect for history buffs and for curious children. It tells the story of how Singapore got taken over by the Japanese. Do the National Museum next gives you the overall history of Singapore",50,"Darwin, Australia",Feb 2020,20200310
12,Fort Canning afternoon,"Excellent attraction. Guide gave a very comprehensive account of the history of the Battle Box. Guide spoke with interest, questions and made sure guests were a priority. Information provided gave a recount of British, Japanese, etc and the effect of the landscape on the surrender. Would highly recommend this attraction.",50,Gwandalan,Feb 2020,20200310
12,Battlebox revisited,Highly recommended. Very educational and the guide was knowledgeable and very personable. We had visited the Battlebox several years ago but this visit was so much more enjoyable.,40,"Coffs Harbour, Australia",Feb 2020,20200310
12,Lovely walk to and around it,Not much to see except guns and a look out post. It does have lots of information about the war and its participation. The walk to and around it are lovely though and worth going to,40,"Bedford, United Kingdom",Feb 2020,20200310
13,Interesting way to learn history,"By being in the actual venue where history happens, commented by knowledgable guide, the entire experience was enriching. Even my young children of 8 and 10 felt it was interesting and I wish all history lessons are conducted like this so we feel the sense of connection rather than reading from text books.",50,"Singapore, Singapore",Feb 2020,20200310
13,A fascinating look into the worst military defeat of Great Britain,"There is no doubt in my mind that the exhibits of the battle-box provide a fascinating insight into what must have been horrific conditions of very few men pushing on against all odds. From war strategy, to personal context, to the mental state of the generals in the bunkers as well as the reality of the structure as it exists, a compelling narrative drives the visitors to the Battle-box. If anyone wishes to know why, in part, colonialism and the old world passed away post-wwii, the Battle-box will present you with a deeply visceral context, a story of men, empires and disaster. There can be no singular reason for why our world has emerged after the war so radically changed, but there can be no absolving the British for their failure to defend their colonies.",50,,Feb 2020,20200310
13,Interesting Tour,We enjoyed our tour of the Battlebox. The discussion of strategy was very interesting. I think you would be a student of history or WW II to find this a must do tour. Our tour guide was very good.,40,"Scottsdale, Arizona",Feb 2020,20200310
13,Excellent experience,We were really impressed with our visit. The staff welcomed us and our young children and the knowledgeable tour guide did a wonderful job recreating the drama of the fall of Singapore. We were amazed by how effectively she created such drama and excitement from the simple remains of an underground bunker - this really was one of the highlights of our trip to Singapore.,50,,Feb 2020,20200310
13,Excellent Informative Tour,"We had to book for the following day as the tours were booked out on the day we originally went. Our tour guide was fantastic and very informative, 10/10 would go again for the longer tour.",50,,Feb 2020,20200310
14,highly recommend,"My 15years daughter recommended this place. Surprised satisfaction.Interesting guilder, lots of knowledge.highly recommend",50,,Feb 2020,20200310
14,Battebox - A step back in time,"I am not a history or war buff.I had a couple of spare hours so I took the opportunity to take the tour having stumbled on it while walking in the beautiful and peaceful gardens above the Battlebox. The venue and tour was not crowded. The guide was knowledgeable and very polite. Our group was of mixed ethnic backgrounds and a range of ages, from teenagers to senior citizens. I think we all enjoyed the tour, I certainly did. So much so that I will do it again on our next trip to Singapore and have convinced my family to also take the tour.",40,,Feb 2020,20200310
14,Hidden History in Singapore,"If you like your World War History , a visit to the Battlebox is a must .Excellent Guide who gave an very good presentation of the facts and lead us on our Tour.Amazing that it is right in the heart of Singapore.Easy to get to using the Metro- just a short walk from the station.",40,"Orange, Australia",Feb 2020,20200310
14,Incredible Experience,Was an experience that will stay with all of us for a very long time. The descriptive depiction by the Guide was so moving and palpable and put us directly in the picture regarding the extremely difficult situations that the team faced under such despairing circumstances. Certainly very well run and very well received by all. Thank you!!!,50,"Brisbane, Australia",Feb 2020,20200310
14,Learned a lot,Learned a lot. Interesting. Well presented. The tour of the Battlebox itself was meaningful and memorable.,50,,Feb 2020,20200310
15,Very interesting history of Singapore during WWII,"The Battlebox is an excellent museum of what happened in Singapore in WWII. While the actual Japanese invasion and British surrender was very short, the aftermath of the Japanese occupation and brutality is tragic and important. The guide was very good and the Battlebox itself is in great condition, with interesting exhibits, including furniture, equipment and very realistic wax figures depicting those final days.",50,,Feb 2020,20200310
15,Fantastic,Great explanation of the Battlebox. Our guide was young and energetic. She kept everyone’s interest and well versed in her knowledge of the subject.,50,"Pandora, Ohio",Feb 2020,20200310
15,Interesting Tour from the British Perspective,"This is a good tour from an enthusiastic guide. It was however a bit jarring from the Australian perspective despite the large number of Australians on the tour.There was no mention that the naval base was developed in the 1920s to allay Australian and NZ fears of Japanese expansionism after the termination of the Anglo-Japanese alliance or that the Australian government in 1940 tied the defence of Singapore to the forces it sent to help Britain in the UK and North Africa. While there was mention of Midway, the Philippines, Burma and Iwo Jima there was no mention of Australia forced to defend itself in New Guinea after the fall of Singapore.",40,,Feb 2020,20200310
15,Couldn't be better.,"Our lovely, enthusiastic and engaging guide Joanne provided a tour that was very informative and enjoyable. The accounts she provided of the men who lived and worked there were filled with emotion and took us back to the time just before Singapore fell. Would highly recommend taking the time to include this in your intinerary.",50,"Owen Sound, Canada",Feb 2020,20200310
15,The story of the surrender of Singapore in WWII,"Viewing is by guided tour only but well worth booking in advance. The tour takes you through the Battlebox and via a combination of exhibits and commentary explains the circumstances preceding the surrender, the decision to surrender and the aftermath. Very, very well done. The tour lasted about 2 hours and was riveting.",50,"Toronto, Canada",Feb 2020,20200310
16,"interesting experience, great tour guide, well worth it","interesting experience, great tour guide (Horace, thanks), well worth it. Learned a lot about what happened leading up to british surrender. We were told the tour company takes the guides around singapore to the various places they discuss on the tour, you could really tell they were well prepared and knowledgeablealso the surrounding area Fort Canning and gardens is worth a look around. Easily walkable to Clarke quay shops and river cruises as well",50,"Poole, United Kingdom",Feb 2020,20200310
16,Closed,I went here at the beginning of January.After a really hard but enjoyable walk to the top in scorching heat only to be told it was not open and that everyone was on holiday.No signs anywhere telling you this.So I lost very valuable sighseeing time,10,"Waipukurau, New Zealand",Feb 2020,20200310
16,No to be missed,We did the guided tour of this attraction and the guide was knowledgable and able to get his message and information across easily.Worth doing if you know nothing of the military history of Singapore or are knowledgable.,50,"Preston, United Kingdom",Jan 2020,20200310
16,Great guide,Wife and I very much enjoyed tour - Shawn ( guide ) was very informative and made the tour both thought provoking and entertaining. He was particularly good with a few young kids on the tour which we thought was a nice touch. The bunker itself was not claustrophobic and contains a number of historically significant items. Overall a worthwhile stopover during a walk around the fort canning area.,50,"Sydney, Australia",Jan 2020,20200310
16,Battlebox,Great experience. Knowledgeable guide. Not too Long and easy to move around the exhibits. Group size well regulated,50,,Jan 2020,20200310
17,Great tour for WW2 enthusiasts and even those that are not,"We had visited the Battlebox back in 2012 when you could just wander around and have a look. We only came back because we had my father in law with us, and I'm glad we did. We got so much more out of the tour. Not only was the guide very knowledgeable but the staging of some of the more important rooms helped you get a feel for the difficult decision that had to be made to surrender Singapore to the Japanese. The only disappointing thing was the lack of original fixtures which had been looted after the fall of Singapore.",50,"Adelaide, Australia",Jan 2020,20200310
17,Well done tour of Battlebox,Very nice tour of the Battlebox. I would highly recommend taking it as it was very informative. One of the highlights of my trip to Singapore. The guide had a wealth of information and was very engaging.,50,Maryland,Jan 2020,20200310
17,Excellent Short Intro to WW2 in Singapore,"Great visit to a WW2 command centre in the heart of the city. Fort Canning Park is great and this 1hr 15min tour rounds it off perfectly.Knowledgeable guides and great to be in a real piece of history. Well worth the S$20 entry, but be sure to check tour times as its guided only.",50,"Huntingdon, United Kingdom",Jan 2020,20200310
17,Superb historical tour,"What a great tour! We were taken around the bunker where General Percival made the overwhelming decision to surrender Singapore in WW2 by Shaun, our passionate, enthusiastic and very knowledgable guide. He kept the interest levels high for WW2 aficionados and general visitors alike. By the time you ‘witness’ the meeting where the decision was taken, you’re as emotionally involved as the people who were there at the time! It’s a seamless operation - from the buying of tickets, to the gathering of the tour group, to the tour itself. Shaun made sure everyone felt involved and was comfortable (an older lady always got a seat) and could hear him. Get away from the usual Singapore sites, and do the tour. You won’t regret it.",50,"London, United Kingdom",Jan 2020,20200310
17,Time Travel,The Battlebox is a bunker from WW2 as some of the original artifacts are still there today. The tour guides know how to grab your attention throughout each room and know they're knowledge about world war two and the history before in the 1200s.This is a must-do if you are interested in the history of WW2 and Singapore.,50,"Melbourne, Australia",Jan 2020,20200310
18,Interesting Tour,"Whilst in Singapore we did a tour of the battlebox with my family, whilst not overly interested in History, it was a very informative tour and behind the scenes story on the fall of Singapore, well worth doing if in the area.",50,"Sydney, Australia",Jan 2020,20200310
18,A great way to learn about the Japanese invasion of Singapore in WW2,This 1.5 hour tour takes you down into the underground HQ of the British army during their last days before the Japanese took over Singapore. It is a fascinating look at what life was like in the bunker and the difficult decisions that the commanding general had to make to protect the lives of the civilians in the country. The surrounding area is a former fort now turned into a beautiful park. Well worth a visit after you have visited the 2-3 other more famous sites in Singapore.,50,"Scottsdale, Arizona",Jan 2020,20200310
18,Fabulous WW2 museum,Very informative. Excellent authentic experience of the circumstances surrounding the fall of Singapore in the bunkers in which the decision was made. A surprisingly large and interesting complex. We had an outstanding guide called Horus who made this a great learning experience.,50,,Jan 2020,20200310
18,A must visit,"Our Guide Shaun took us for the first tour of the day and we were absolutely amazed and the level of detail he explained. The site is well preserved and recreated for dramatic effect. If you don't know about the history of Singapore in WWII or even if you do, you should visit here and be a part of it. Truely amazing.",50,"Sydney, Australia",Jan 2020,20200310
18,Fantastic tour of a historical and significant site during WW2.,"Throroughly enjoyed this tour and was very moved by it all. Wonderful guide, Shawn who really enjoys what he does and takes pride in his tours. This is a must do when in SIngapore.",50,Sydney,Jan 2020,20200310
19,A hidden gem,"I did the battle box tour on the recommendation of a friend, definately a MUST see, very informative and interesting. Would do again.",50,"Brisbane, Australia",Jan 2020,20200310
19,Crash course in history,"If you want to learn about the local ww2 history, this 1.5h tour is the place. I thought it was excellent, but this is the type of thing I generally enjoy.",50,"Gothenburg, Sweden",Jan 2020,20200310
19,Best attraction in Singapore,Absolutely wonderful experience that is a must! It gives an unbiased view of the historical events that led to the surrender of Singapore. The guide was incredibly knowledgeable and I left feeling like I had learnt something new. If you are interested in the history of Singapore during WWII then Battlebox is a must visit. Make sure you book online as spots fill up fast. Also disappointing we were not allowed to take photographs but I found I enjoyed and focused on the tour without worrying about photos.,50,"Blue Mountains, Australia",Jan 2020,20200310
19,Interested Veteran,"Great tour, Have done Churchill war rooms and Dover cliffs war rooms and this is up with them. Knowledge by tour guide very good and interesting. Only disappointment was no photos allowed(I cannot understand why not), but overall well worthwhile.",40,,Jan 2020,20200310
19,Truly amazing.,We were late arriving due to traffic and a bit of poor planning on our side But even though we were 15 minutes late we were ushered in to the tour. So glad we were ab l e as the tour was so informative and the manakins were so life like I was expecting them to come to life. Make sure you book and get thearly .,50,"Canberra, Australia",Dec 2019,20200310
20,Fascinating beautifully documented history of World War !! in Singapore,"In actual location, the British military bunker protecting Singapore up to February 1942, well documented tour and documentation of the loss of Singapore in 1942. Riveting. The tour goes beyond the surrender to positive change in fortunes of the war and Allied victory in 1945",50,Connecticut,Dec 2019,20200310
20,Excellent guided tour,Extremely interesting and informative tour of underground bunker where the Singapore surrender was decided.Good mix of audio visual and guide speaking. Thoroughly recommended,50,"Leicester, United Kingdom",Dec 2019,20200310
20,A fascinating historical tour,"This was one of my favourite activities in Singapore, despite not initially being on our list. The Max capacity of the group is about 20, as the rooms inside the Battlebox are small. The entire tour is given by a well informed guide supplemented by some videos.",50,"Worksop, United Kingdom",Dec 2019,20200310
20,The Battle box experience,It's a must visit for anyone interested in knowing more about Singapore and Malaysia.The narratives practically gives you an insight into what happened during the war and how the intensity of the warfare compelled the officers to find a refuge in the battle box: A place of strength and strategy.,50,,Dec 2019,20200310
20,Battle Box,After meeting the guide we went through battle box . The guide knowledge was extensive. Being from the UK it had quite an intimacy feel. 99 % of everthing in the box were still the same from the front door to the actual toilets used. The big decisions made in such stressful and hot conditions must have been difficult to say the least. I would recommend it as a must see . I would say the best value for money in Singapore.,50,,Dec 2019,20200310
21,Best tour in Singapore,We thoroughly enjoyed the tour through history in the Battlebox. The tour brought to life how important the port was and the strategy of the Japanese and the failure of the English to realise it. History buffs will love it,50,,Dec 2019,20200310
21,Highly recommended,Very interesting. The guide was so knowledgeable and informative. Well worth doing if you have any interest in history and WWII,50,,Dec 2019,20200310
21,Best tour ever,"I stumbled across this tour while looking for things to do on wet days. Our guide, Matt, was extremely knowledgable and well spoken. The displays and presentations were very well designed, and we learnt so much from our trip. This would have to have been the best tour I have ever taken in any city I have been in. I highly recommend it. If you have any interest in world history, this is not to be missed.",50,"Brisbane, Australia",Dec 2019,20200310
21,Amazing exhibition about the history of Singapore,"A comprehensive exhibition about the history of Singapore during the WW2, with real artefacts and story boards. The guide was very knowledgeable and passionate too",50,,Dec 2019,20200310
21,Great tour,Guide spoke well and very knowledgeable and passionate. It was good that the group was limited in size,50,"Brisbane, Australia",Dec 2019,20200310
22,Quiet morning,Absolute oasis - well maintained gardens - very peaceful. Definitely will visit again. Close to Singapore Museum,50,UK,Dec 2019,20200310
22,Must go!,"If you enjoy history, this is a must-do.Our guide (his name escapes me) was knowledgable, friendly and professional. The tour was an engaging mix of oral presentation, film, and exploring the Battle Box itself. A really interesting way to learn about the history of this beautiful city. Don't miss it!",50,"Brisbane, Australia",Dec 2019,20200310
